comment,VALUE
Sy dah ubah password dan update. Smp skrg ga bs masuk2 alasannya salah password. Sy minta untuk reset pass word malah ga ada notif. Bagaimana ini?,Negatif
"Pertama nya iya ngebug, ada masalah saat login, loading terus. Tapi karena respon nya cepat & segera diperbaiki bug nya beberapa saat kemudian, ya salut lah, bertanggung jawab dan nggak lari dari masalah, ada tanggapan. Semoga semakin baik lagi untuk aplikasinya. Pekerjanya beneran kerja sih bagus",Positif
"Mau login gak bisa padahal username dan password sudah benar, malahan akun saya diblokir. Sudah komplain ke customer service nya tapi pelayanan nya lambat sekali sampai sekarang belum ada solusi. Kecewa aja sih brand sekelas Starbucks aplikasi nya bobrok seperti ini",Negatif
Mantap,Positif
Hargabya dong pake harga mahasiswa,Positif
Percuma buat app. Tdk bs join. Ngak jelas,Negatif
App agak lama kerjanya ga bisa sat set :(,Negatif
Mantepss thanks,Positif
Keren.,Positif
Good,Positif
Good,Positif
"Aplikasinya benar² nggak jelas, saya sudah masukkan password email saya tapi, nggak bisa. Ini disuruh buat password nggak sih atau pakai password yang asli gitu. Tolong anda jelaskan.",Negatif
Aplikasi kaga ada jelas2 nya.....log in sampe diulang kaga pernah bisa sign up.....gw nya yg ga bisa apa aplikasi nya emang kaga jelas......,Negatif
top,Positif
So far so good,Positif
"Kopi terbaik, barista terbaik, staff terbaik 👍🏻",Positif
ok,Positif
"Sejak update aplikasi nya, buat buka aja lemot nya ajubilah, sampe nenek-nenek jadi muda lagi baru bisa kebuka. Aplikasi dibuat biar mempermudah, bukan bikin orang jadi emosi gara-gara lelet banget 👎👎👎👎",Negatif
Nice,Positif
"Nggak bisa sign in sama sekali. Padahal pas join in udah beres, tinggal sign in aja. Tapi cuman stuck disitu ga bisa masuk",Negatif
Memuaskan,Positif
Good,Positif
KereN,Positif
Good notion,Positif
Nice app,Positif
Tks Sturback untuk aplikasi nya,Positif
Varian seperti frape java chip sm vanilla jika ada yg hangat lebih baik,Positif
Love it,Positif
Favorit🥰,Positif
"Klian yg gada masalah jan lupa kasih bintang 5 okeii. Kesian jg bnyk bgt yg bintang 1 pdhl pasti banyak yg lancar2 aja tp ga ngasih bintang. Appnya bagus kok, aku dpt bnyk bgt voucher jd bisa sering2 beli deh wkwk. Tingkatkan trs ya starbucks!!!",Positif
Ok,Positif
Puas banget,Positif
Mantap...banyak promo nya 👍👍,Positif
😁,Positif
Banyak promo......🤣👍,Positif
Lumayan lah,Positif
Good. Sometime takes time to open the aplication.,Positif
Sangat baik,Positif
👍👍👍,Positif
The best coffee and coffee shop in the world,Positif
"suka loading kalo pas susah signal aja macam di rest area, bandara gitu².. sejauh pakai app ini gampang sih buat transaksi di kasir",Positif
Good aplication,Positif
Gas,Positif
Userfriendly,Positif
"Minuman2 nya enak pake banget, favorit caramel machiato 🥰👍 , Tumbler nya lucu2 bgt 😍",Positif
"⭐️5 lah pokok nya, starbucks always in heart",Positif
Sangat nyaman n cepat... pokoknya sukses deh buat starbucks indonesia.... yang selalu memanjakan customer dgn beragam promo... 🙏🙏🙏,Positif
Suka cuman sayang menunya gak bisa dilihat diaplikasi lagi,Positif
ENAKKK BETUL MINUMAN NYA🤗🤗🤗🤗,Positif
"Sekarang loginnya susah, setelah password loading terus lama. Tolong dibenerin, terima kasih",Negatif
"Gajelas banget, mau sign up aja lamanya sampe sejam sendiri, dibilang OTP code salah, padahal saat masukin OTP udh di confirm bener. Giliran udh bisa, mau sign in aja lama bgttttt, cape duluan",Negatif
The Best,Positif
aplikasi aneh tinggal di surabaya ditunjukin di jakarta mulu. kalo emang mobile ordernya khusus jakarta trus napa ngasih kupon diskon2 di seluruh outlet,Negatif
Aplikasi bagus dan gampang digunakan.,Positif
Cuma bisa mesen d area jakarta aja ya?????? Trus ngapaen store luar jakarta buat donlot???????????????,Negatif
"Awal punya member card gak perlu download aplikasi ini, kenapa pas mau beli gunain member card download aplikasi ini dan sama sekali gak bisa login. Di email slow respon 🥺. Bye lah gak usah pakai member card. Bad banget ini aplikasi",Negatif
G bisa login,Negatif
Sign tidak bisa Tidak ada email masuk,Negatif
"SEPERTI REVIEWER SEBELUMNYA, APLIKASI GBLK. Tinggal di Palembang tapi nunjukkin Jakarta, mau order tapi place tetep di Jakarta, GPS aktif, izin Location juga udah on, tetep aja di Jakarta. Gimana mau order, developer gak niat",Negatif
Aplikasi sering hang sekarang. Karyawan di grand indo kaku sekali...padahal lagi tum ler day. You suckssss Yach tetap saja saya bayar normal jadinya...promo nya kan jadi bohong namanya begitu bro...u sucks,Negatif
"Makasih, sudah bisa digunakan kembali",Positif
"belum stabil aplikasi nya, Gagal login mulu (dengan keterangan Internal Server Error)",Negatif
Gak bisa di download aplikasi nya,Negatif
Tidak bisa di buka hari ini,Negatif
Sering ngecrash tapi kalau untuk pembayaran mudah,Positif
Mau sign mau join susah semua padahal email sama kata sandi bener Ampe bikin email baru tetep salah juga aplikasi jelek,Negatif
Susah banget buat masuk Udah ga punya kode ko malah ga bisa,Negatif
Mantap,Positif
Parah bgt mau sign in masukan email salah mulu padahal gw BNR dah masukan email & password pasti tulisan nya error' suruh masukan email yg benar .plz deh.gak bs login PK no hp ja gt??mana ada saldonya lagi di app SBUCK NYA😭😭😭😭😭😭,Negatif
Starbucks is the best,Positif
Erorr.,Negatif
di update terbaru g bisa masuk katanya ponsel ter root padahal kondisinya lagi unroot..,Positif
andi,Negatif
gabisa pencet tombol sign in error di sistem nya,Negatif
Good,Positif
Gooood,Positif
tidak bisa login,Negatif
Starbucks emang paling debes,Positif
super app. thanks.,Negatif
"Parah, mau order di surabaya malah yang tersedia di jakarta ajaa.. segera di perbaiki",Negatif
Mantaap,Positif
"selalu error gaada internet waktu mau login dan buat passcode pdhal internetny kenceng, tolong diperbaiki..",Negatif
Gk bs daftar knp ya gk mau msk terus,Negatif
"Mau order buat lokasi terdekat malah gabisa. Asik di jkt mulu, kan gue tinggal di medan. Dah di search dan on location. Mengheran",Negatif
Sangat bagus,Positif
Excellent,Positif
Paraaaaaah banget gabsa sign in sama sekali sampai cape bgt sumpah,Negatif
Aplikasi ga guna,Negatif
Starbuck mantap banyak bonus,Positif
Terbaik,Positif
Aplikasi tidak dapat dibuka.,Negatif
Gak asik,Negatif
"Mbak-mbak baristanya suka menjebak pembeli. Di daftar harga tertera 32rb, tapi mbak-mbak baristanya bilang ini itu ini itu, kami sebagai pembeli mengira itu free karena mbak-mbak baristanya gak bilang kalau tambah ini bayar sekian. Kopi yang tertera didaftar menu seharga 32rb, tapi waktu bayar 70rb.",Negatif
Top,Positif
"Cek store terdekat aja ga bisa, gimana mau beli lewat aplikasi coba",Negatif
"Yang gabisa nemu OTP, kalian bisa cari di Bagian Promo di email disitu tertera Kode OTP nya",Positif
Mohon dibantu starbuck saya udah join now saat saya mau sign in kok susah padahal saya udah punya kartu starbuck,Positif
Kontholl mau masuk ribet banget sekeren apa si aplikasi lo dasar,Negatif
Yg bilang login masukin code perasaan saya gampang² aja gada kesulitan. Kesulitan nya cuma 1 mau milih tapi kantong menipis:((( muehehe:v,Positif
Mantap,Positif
Starbucks lu lagi kenapa sii sekelas lu kenapa ribet amatt gini,Negatif
"Rabu 17 November 21 jam 1353 dapat order dari customer sebesar rp.1juta lebih, sudah dikasih nota ,saya foto,saya tunggu diluar[karena nungguin didalam tidak boleh]sangat tidak menghargai ojol,saya tunggu 30menit lebih,pelayan cowok tinggi kurus keluar bilang mau dicancel, karena stok habis, njancuk koe mas, kerja nggak profesional, sekelas Starbucks dari Amerika tidak bisa menghargai waktu,waktu adalah uang,uang orderan saya hilang,tips customer juga hilang,staff Starbucks setahu saya min D3 ta",Negatif
Koq ga bs sign in yah???,Negatif
mau login tp d suruh update. Giliran mau update malah ga bisa2,Negatif
"jarang saya temui bintang 5, biar jd perwakilan, Jos sering ada Reward.",Positif
Tidak bisa login ketika memasukan OTP gagal terus sudah 20kali. Tolong perbaiki lagi aplikasinya. Terimakasih,Negatif
"Sulit sekali untuk bisa log in, sudah berhasil join now tapi tidak bisa log in. Saya sampai coba forget password tapi tetap tidak berhasil.",Negatif
Mak nyusssss,Positif
Nice service,Positif
"Mantap ini ke3x dihapus, apps nya gk ngasih extra bintang pas top up, tulis email gk direspon, tlp customer care sibuk, ancuurrr, nipuuuuuu",Negatif
"gak bisa daftar katanya emailnya gak valid , pdhl email yang saya masukkan itu dipake setiap hari . Gimna sih ?",Negatif
"Ini kopi kalau tidak niat dengan adanya aplikasi mending tidak usah pakai aplikasi deh.. ribet banget 🤦🤦 ya ampun.. kalau untuk perbandingan aplikasi antara kopi kenangan lebih mudah,, mulai daftar, pesen,, pembayaran dll🤦 padahal sekelas Starbucks mewah kenapa lemah di aplikasi, sebagai pecinta Starbucks kecewa sih🤦🤦",Negatif
"Saran: minuman Internasional pelayanan kurang begitu baik,member sy sudah Gold sekarang menjadi Green Level mengapa❓❓❓ hitungan sy top up selama sebulan bisa mencapai 1.5juta..itupun sebagai pelanggan yg penikmat kopi tidak dirangsang dgn hadiah - hadiah ( karena jaman omincron )mohon utk kelanjutan dalam berbisnis..cari karyawan yg mengerti akan setiap pelanggan jangan bekerja dgn muka dilipat menjadi 6...",Negatif
Belom bisa order di bandung. Nanti klo ud bisa order ganti bintang 5,Negatif
E-CODE NYA ERROR MULU KALO NGASIH OTP YANG BENER BIKIN INVALID MULU SANDI BENER EMAIL BENER Kalo ga niat ngasih KODE ke pembeli gaush bikin apk nya.,Negatif
Ga jelas ga bisa masuk no otp tidak valid ga jelas,Negatif
Very good,Positif
Baik,Positif
Good coffee quality,Positif
"Aplikasi rusak, ga bisa login _- internet tidak ada akses padahal sinyal kenceng _-",Negatif
"Aplikasi gak bisa dibuka sama sekali, markom nul markom nul doang, balanceku masih ada. Kesal",Negatif
Bagus.,Positif
Banyak promo,Positif
"saya bantu ngasi bintang 5, kasian adminnya salah mulu ;)",Positif
"ga bisa sign in, padahal emailnya bener, passwordnya juga bener",Negatif
Sangat puas minum starbucks,Positif
Aplikasi ini sangat berguna kasih bintang 5 jika bisa pembayaran via gopay,Positif
"Ga bisa registrasi, salah mulu ky cewek",Negatif
"Gabisa login terusss dah hampir sebulan nyoba login belum bisa2 sampe sekarang:""",Positif
"Aplikasinya sakit, mending starling ga ribet :)",Negatif
"Tidak bisa daftar, selain kendala kode OTP, banyak juga kenda lainnya saat mendaftar, seperti server error dan nomor atau email katanya sudah terdaftar padahal belum pernah download dan daftar sebelumnya. Sudah banyak komplain mengenai hal ini tapi pihak yang bersangkutan juga belum mengatasi sampai sekarang.",Negatif
"""INTERNAL SERVER ERROR"" PLEASE FIX IT.",Negatif
Feel at home❤😍👍🙏,Positif
Good taste,Positif
Ok,Negatif
"aplikasinya parah cacadnya ..lemot, lama, buat id aja prosesnya lama...masak starbuck buat aplikasi yg mufah simple aja g bisa g kayak branf kopi lain yg mudah simple cara daftar dan buat id nya...cacad parah sihh....dah banyak yg ngasih review jelek g malah diperbaiki aplikasi ..dasar hadehhh....",Negatif
Jangan percaya voucher 10k,Negatif
"Banyak penawaran asal diberikan ke konsumen, tanpa melihat kondisi dilapangan. Hapus aja aplikasi ini kalau tidak bermanfaat.",Negatif
Susah banget joinnya,Negatif
"Tidak bisa login, daftar pakai no lain juga tidak bisa",Negatif
Coffe nya the best,Positif
Udah input verifikasi code yg dikirim ke email ttp gak ba masuk udah berapa kali dicoba ttp gak bisa,Negatif
Semakin di maksimalkan ya seluruh fitur nya,Positif
Jos mantul,Positif
Sangat membantu,Positif
Oke dan cepat,Positif
Harus lbh dipermudah lagi yaa aplikasinya Starbucks,Positif
Susah masuk nya,Negatif
Log in nya kaga mulu dah,Negatif
Good apps,Positif
👍🏻👍🏻👍🏻,Positif
Ok,Positif
Mau ganti password gabisa login terus. Padahal sudah perbarui password,Negatif
"Percuma download, ribet, gak bs ter-registrasi...",Negatif
Menarik,Positif
"Aplikasinya buruk, ketika saya ingin join dan menginputkan kode security selalu gagal krn jaringan. Dasar aplikasi jelek",Negatif
"Developernya makan gaji buta, pecat aja..",Negatif
"app sangat lambat loadingnya, harap di upgrade. Kecewa",Negatif
"Kasih bintang 1 aja, daftar, di kaaih kode otp, pas isi data, kode otp invalid....🤣🤣",Negatif
Semua udh bnr tp gabisa signin susah bgt,Negatif
Okee sudah nice 👍,Positif
Ribet mau login aja ngga bisa iklas ngga sih bikin aplikasi ini,Negatif
Aplikasi busuk mau masuk ribet amat,Negatif
"Aneh banget , udh lengkap buat join. Internal server error terus.",Negatif
susah dipake,Negatif
Buang2 wkt udh daftar masuk pass tp g bs hadeehhh repot udh masuk email udh berhasil eh loading terus,Negatif
"Apk semple. Udah daftr, Giliran log in gk bisa username invlid terus diforgt juga gk dpt blsn email, ini apk gj bnget saya sudah coba dftr 2x dengn no tlfon berbeda dan email berbda tetap sama gk bisa log in.",Negatif
Susah kirim OTPnya mending gak usah download sebelum ada perbaikan jelas,Negatif
Good,Positif
"MENDING GAUSAH DOWNLOAD, APPLIKASI GAK GUNA, UDH KLIK KIRIM OTP BERKALI2 GAK ADA 1 PUN OTP YG MASUK KE SMS",Negatif
benerin tuh null code gajelas duit w banyak disini,Negatif
Gak jelas gak masuk masuk otp nya,Negatif
"Mohon aplikasi nya segera diperbaiki. Setiap join gak pernah dapet kode otp nya,padahal nomor hp yang gw masukin udah bener. Terus daftar lewat website nya malah gagal terus.",Negatif
OTPNYA GAK DIKIRIM KIRIIIIMMM . UDAH SEJAM GUE KLIK BERKALI KALI MINTA KODE OTP ! NIAT GAK SIH BKIN APK MEMBER?,Negatif
Ga jelas bgt mau sign up kode otp ga dikirim-kirim . Sekelas starbucks aplikasinya nge bug gini terus. Auto uninstall deh,Negatif
"Ga bisa digunakan, apk ngebug",Negatif
Register udah tinggal sign aja gaisa hdeh gamau jalan sign nya,Negatif
Aplikasi yang mengecewakan,Negatif
Ga bisa masuk,Negatif
"Bagus, tp 6bulan kadaluarsa kartu, jd hangus uang di kartunya.",Positif
Ini kenapa gabsa login sih. Udh dpt otp segala macem ttep gabisa. Mw login dibilangnya salah password. Aneh ni aplikasi,Negatif
"aplikasi belum layak pakai, harap di maintenance ulang",Negatif
"Aplikasi gajelas, gabisa login aneh padahal baru sign up",Negatif
Tidak bisa ditarik uang nya kesel bngt buang2 duit dengan percuma,Negatif
Enak buat nongkrong,Positif
"Alahhhhhh marketingggg di janjiin promo ini itu, tapi di persulit .. biar apa??? Biar di download tuh aplikasi 😑",Negatif
"Aplikasi nya nggak bisa di minimaze, mau liat kode otp diemail, malah kembali ke aplikasi ke hal sign in 😣😣😣",Negatif
Udah instal apk error ! Payah !!! Kasih bintang 1 karna apk nya tidak bisa dipakai dan server eror terus !!!,Negatif
We've vvttvl,Positif
Promo tiputipu..,Negatif
"Please jgn download karena bakal susah/ bahkan gk bisa login. Saya sudah dapat kode otp dari email, lalu sudah saya masukan kode itu ke apk Starbucks. Tapi kenapa notif nya password salah. Dan sudah saya ulangi resens otp 5x . Tetap saja gk bisa log in, sungguh buang2 waktu dan kuota demi promo 10rb",Negatif
Mau login ga bisa woyy,Negatif
Intern sever error,Negatif
Gak bisa login terus,Negatif
Internal server error,Negatif
Bapuk,Negatif
RANIAC-698E87 gunain vocher aku buat dapet dis 50%,Positif
"Loading terus, gabisa dipake",Negatif
Gak bisa sign in,Negatif
gabisaa log inn 👎🏾👎🏾👎🏾,Negatif
Login eror terus....,Negatif
Error terusssssss,Negatif
gabisa sign in blok,Negatif
"ga bisa daftar, error terus aneh",Negatif
No internet connection pala lo peyang. Kesel bgt gue!!,Negatif
Gajelas tiap signin gabisa,Negatif
"Ini komentar saya yg ke 3 setelah 2 komentar sebelumnya di atas tanpa ada solusi sama sekali, coba deh kalian install aplikasi trus login / forgot password ,, gw jamin kode verifikasi nggak bakal masuk ke email kalian",Negatif
"Thank you for update, sudah lebih stabil dan user-friendly.",Positif
Ngga bisa log in.... Padahal tinggal masukin kode Verifikasi nya aja,Negatif
sekelas Starbucks kok aplikasi nya gini,Negatif
Ga bisa login,Negatif
Gabisa login woi gimnaa;(,Negatif
Udah daftar udah selesai tapi pas log in masukin paswd malah gabisa 😶,Negatif
Bali dikit boss masak jakarta,Negatif
Aneh kaga bisa daftar,Negatif
Mau login susah bgt,Negatif
Mau masuk suruh masukin email sudah bener semua tapi ga bisa anjrot,Negatif
"Aneh bgt sgala make referer kode, gajelas dh kan baru mau bikin akun knp jd ribet.",Negatif
Jelek bangeeeeed ribed,Negatif
"Aplikasinya ga jelas. Mau masuk aja ribet, gimana sih.",Negatif
"Saya mau applay promo di startbuck tsm bandung ga bisa, tolong priksa",Negatif
Baru download :( udah join in trus mw sign in tapi katanya invalid,Negatif
yang bener kalo bikin aplikasi gblk,Negatif
ga bisa login login jadi males,Negatif
"Click bait saja, tipu2",Negatif
"Gak bisaaa.... Pass di sign up failed keterangannya kode OTP failed, pdhal itu kode yg ngirim starbuck lgsg ke no HP kita.... Anehh!! Uninstall ajahlahh....",Negatif
Internet server error Mulu padahal udah coba berhari hari dan pakai internet yang lancar. Ini kenapaaaa,Negatif
"Aplikasi eror, di email tidak ada penyelesaian. Bagaimana ini?",Negatif
Setiap percobaan login selalu stuck di konfirmasi kode pin karena loadingnga ngak pernah selesai alhasil gak bisa masuk. Tolong di perbaiki.,Negatif
Eror mulu gajelass,Negatif
Yang buatnya ke sirit mukanya ke kntl. Kntl nya budug,Positif
"Setiap kali memasukkan OTP not match, padahal udah copy paste. Wasting time !!!",Negatif
login gabisa gajelas,Negatif
Ada promo kah Starbucks ukuran tall @Rp10.000 SD 31des 21?,Positif
kenapa susah sekali loginnya? sudah ketik buat password beberapa kali tapi tidak bisa log in,Negatif
Loginnya susah..otp sms smp 4x..otp email smp 2x..pas bikin code pasword malah eror terus.,Negatif
"Ga bisa login, masih erroe",Negatif
Susah sekali untuk sign in,Negatif
gabisa login mulu. aplikasi masih nge bug gini udah di launching aje,Negatif
"Mau daftar aja ""internal server error"" terus. Gada pilihan bahasa Indonesia lagi. Aplikasinya kayak nggak selevel sama Starbucks gitu.",Negatif
Mau log in aja susah hadehh,Negatif
Cara order minum di tangerang gimana ia....,Negatif
Referral code nya apa ya ?? Gk paham saya,Negatif
Susah sig in,Negatif
"Woii..kamu niat gak sih bikin aplikasi ini kok sy udah daftar 2 nomor hp saya yg berbeda dan email semua sukses pd saat join daftar ,masalahnya trouble ada di login pdhl waktu daftar join sukses semua giliran mau login ga bisa...anehh..aplikasi guoblokk taiii",Negatif
Atur passcode ga bisa bisa,Negatif
OTP incorrect mulu pdhl udah bener. Susah juga yg mau daftar🥲,Negatif
Ga bisa daftar,Negatif
Servernya Eror nih perbaikin dlu,Negatif
"Mau tnya untuk order lgsg mlalui apk ini,hny di daerah jakarta dan skitaranya??bisa tidak order lgsg lwat apk ini utk daerah lampung???",Positif
Setelah berhasil daftar Mala keluar sndri trus pas dibuka lg Mala stuck di logo awal doang gimna dong😔,Negatif
"Halo pihak starbucks, kenapa yaa saya gabisa sign in? Tulisannya something wrong terus padahal saya sudah daftar klik join dan sucsses tulisannya. Pas mau sign in gabisa?",Negatif
Niat engga sih ngasih reward. Engga profesional untuk sekelas starbucks,Negatif
"Aplikasi gagal, harus banyak perbaikan, gak recomended sih untuk sekelas starbucks",Negatif
"Ribett sekali, pengguna baru nggak bisa loginn",Negatif
Aplikasi ga bisa dibuka smpah.,Negatif
Aplikasi apaan si login aja susah bet,Negatif
Kesel banget ama apk ini eror terus ga bisa log in sama sekali!!🙄🙄,Negatif
"sudah daftar pas mau login sama pasword internal server error,tolong dong diperbaiki aplikasinya",Negatif
LOL banyakan error,Negatif
G bsa log in,Negatif
Apa apaan saya baru download gabisa login dengan alasan server error gimana si,Negatif
Login gagal? Pengguna baru ga diterima disini bro,Negatif
"Saya baru daftar, udh berhasil dapat balasan email, trus pas saya mau log in knp gak bisa ya ?",Negatif
Kok udh forgot Password tp gak ada email buat resetnya ya,Negatif
"Aplikasi jelek, sudah joint, tapi saat login selalu dibilang invalid username/password",Negatif
"SUSAH BANGET BUAT REGISTER, SUSAH VERIFIKASI SEMUA TETEP AJA GABISA, MENDING GAUSAH DONLOT DEH",Negatif
"Baru buka aplikasi nya udh eror,,dr smlm udh dicoba bbrpa kali ttp ga bisa",Negatif
ada promo sampai tanggal 30 Desember kan min?,Negatif
"Ketika melakukan registrasi terdapat notifikasi gagal karena internal server error, tp saat dilakukan registrasi ulang tidak dapat karena email/no telp sudah terdaftar, tapi dicoba lupa password juga tidak masuk di email.",Negatif
kenapa saya mengalami kesulitan untuk login padahal emaik dan pw sudah benar,Negatif
"Email nya udah pas, waktu mau sign up eh ga bisa pass nya jg udah pas",Negatif
server eror trus kalo mau login,Negatif
Bru aja buat akun pas mau login malah gbs pdhal email sm password sama. Jelek bgt apknya tlg dibantu ya,Negatif
"Gak bisa login gimana lah udah daftar, sistem error terus",Negatif
code referrel nya apa ya,Negatif
"tolong di perbaiki app nya, gak jelas ribet bgt, sudah berhasil join pas mau sigh up email atau pwd salah terus. Capek 👎",Negatif
ribet,Negatif
Saya ingin daftar kok servis gangguan terus iya knpa kira²,Negatif
Ga bisa login.. notifikasi nya internal eror..keburu abis promonya..hehe,Negatif
Ga bisa daftar akun,Negatif
Saya tidak bisa masuk ke akun pribadi saya,Negatif
APLIKASI NYA NIPU,Negatif
Udh join now tapi gak nerima2 email dan pas sign in gak bisa2:(,Negatif
"Pendaftaran akun sudah berhasil, akan tetapi pada saat sign in muncul kata ""Internal Server Error"" itu terus. Tolong diperbaiki secepatnya ya, terimakasih 😊",Negatif
Aplikasi cacad udh berhasil daftar malah ga bisa masuk.,Negatif
difficult to login sometimes,Positif
gabisa login. internal sever error mulu ckckck. gabisa login tiba2 ada tulisan akun gue diblock. aneh banget. dari 2 tahun lalu juga gue uda pake app ini dan ternyata masih sama masalahnya. gaada perkembangan.,Negatif
Server error teross kenapa yee?,Negatif
"Mau join aja susah banget , internal eror trus 😌",Negatif
BENER BENER ANEH BANGET NI APLIKASI. UDAH MASUKIN KODE OTP YG BENER BERKALI2 TETEP AJA GAK BISA LOGIN. CCD,Negatif
"Ribet daftarnya gak bisa2, email saya belom pernah daftar sama sekali. Males ahh uninstal bae",Negatif
"Mau masuk ribet bgt, Padahal sudah finish tinggal Masuk suruh verif kode lewat email, setelah dapat kode dari email, di masukin kode nya ga bisa, katanya ga valid, HELOOOO itu kan yg ngirim kode nya juga Starbucks, di masukin td ga valid terus katanya, ANJJingg Nyesel bgt download nya, buang2 waktuuu!!!!",Negatif
Internal server error mulu,Negatif
Uda dftr tp mau log in gak bisa2.. bikin oasw utk log in malah katanya no connection.. aneh,Negatif
"Udah bikin akun tapi ga bs sign in,😞",Negatif
"Login aja susah banget tolong ditimgkatkan lagi, Progammernya tolong kerja yang bener",Negatif
Lemooooottttttttttttttttttttttttttttttttttttttttttttt,Negatif
Sudah join..pas mau masuk eh eror Mulu... kecewa,Negatif
Gk bisa signup loooohhh huuuffttt,Negatif
gk bisa login,Negatif
"Haloooo ini kenapa trouble di sign in yaaa? Saya sudah mau sign in, udh dapet otp di email, tp di laman aplikasi nya gaada kolom untuk input kode otp. Moon bantuan",Negatif
LOADING MULU,Negatif
Gabisa masuk padahal udah daftar pas udah mau login malah gabisa tertulis Server Error maunya gimana sih?,Negatif
Ok,Positif
Mantappp banyak rewardnyaaa,Positif
keep error,Negatif
Good,Positif
Keren bgt,Positif
Good,Positif
"Terima kasih ya Starbucks, setelah update dgn versi yg ini, aplikasi Starbucks sy bisa di buka lagi... 👍👍👍",Positif
Okeah,Negatif
Keren,Positif
Maintain Good Job Mike...,Positif
Serve n Kept goin,Positif
Bagus,Positif
Ok mantap keren bagus yuhhuuuu,Positif
Bagus,Positif
Enak,Positif
Good,Positif
Suka ..pelayanan sangat baik,Positif
Makin Croot dech suka sama Starbucks mantul lah... Banyakiiin promo yang Croot croot Biar Mantap,Positif
Aplikasi nya tidak bisa dibuka setelah mengaktifkan airplane mode,Positif
Ribet login nyaa,Negatif
Login gak bisa nih. Ga dikirimin kode verifikasi ke Gmail nya .. payah.,Negatif
Interface bikin ribet lebih dari bank buat lebih efisien seperti gesture atau pin . setalah logout harus ini itu apk untuk minum bukan perbankan aman sih aman cuma terlalu ribet buat yg seefisien mungkin,Negatif
Memudahkan sekali utk yg sering lupa naruh atau ketinggalan Starbuck Card. Tapi pricelist menunya belom ada. Semoga kedepannya ada dan semoga tambah laris hehe,Positif
Good,Positif
"Kenapa mau buka app ga bisa?? Keterangan nya ga, ada signal padahal wifi full dan lancar banget ga ada masalah.. Payah banget nih applikasi.. Percuma download klo ga bisa di pake",Negatif
"Ga bisa login, orang passwordnya juga sama. Reset password ttp ga dpt email :))",Negatif
"Sering log out, dan g bisa masuk lagi sampai sekarang, sudah lupa pasw diganti pas mau masuk dibilang invalid User Id or Pasword",Negatif
Kok saya udah 3minggu ini ga bisa² login ya?,Negatif
Daftar sejak 2016 tidak jadi jadi. Aplikasi starbucks indonesia 👎🏿👎🏿👎🏿👎🏿👎🏿. Pelanggan setiamu sampai sekarang.tapi aplikasimu yang mengekecewakan.,Negatif
Bagus,Positif
"Ribet, mau join aj di bikin ribet. Udah masukin 2 email eh ga bisa. Katanya ga valid. Padahal daftar apa aj pake email itu bisa2 aj. Pas tes pake email asal2an eh malah masuk. Tp Ujung2nya ga bisa verifikasi email gra2 Cuma ngasal...jgn bikin aplikasi dh kalau ribet.",Negatif
Good,Positif
SETIAP MAU MASUKIN KODE PIN PAKAI PAKET DATA SELALU ERROR ! GAK NGERTI LG SKRNG SM APP STARBUCKS,Negatif
Pin tidak terkirim saat melakukan sign in untuk mendaftarkan akun. Sudah dicoba resend code berkali-kali tapi tidak ada kode pin yang terkirim ke email...,Positif
Mantap,Positif
Starbucknnya bagus banget,Positif
Promonya kadang berbeda di semua outlet starbucks,Negatif
T c,Negatif
Nice taste....,Positif
Gimna mau dapat OTP ?? Sudah resend berkali-kali tpi sms gk ada masuk. Ada cara lain buat sign up ??,Positif
Kode OTP nya kok ga masuk masuk ke pesan sih...,Negatif
Rasa kopi nya enak banget,Positif
Sudah daftar ikutin petunjuk. Mentok2 password invalid🤣🤣🤣🤣🤣. Halooouuuuuuu!!!!!!.#starbuck indonesia#,Negatif
"Susah join nya, otp nya gak masuk-masuk (via SMS)",Negatif
aplikasi tidak bisa di buka sama sekali. pake paket data ataupun wifi. tolong segera diperbaiki.,Negatif
Susah amat app ini GK jelasss ngajak berantem gw dah tiba² keluar sendiri terus daftar nya susahnya minta ampun,Negatif
"ga bisa login aplikasi semenjak update, refresh page mulu anjir tolong donk ditindak lanjuti team developer nya",Negatif
Jos,Positif
sumpah ga bisa ganti pasword.... ga masuk email nyaa... ampunnnn,Negatif
trash.. i download it 3 times and still cant open the app. it says i dont hv connection. my internet connection is running well. Such a waste of time downloading this app.,Negatif
Saya belon dapat order Starbucks indonisah,Positif
"Tiap buka aplikasi selalu konfirmasi kode ke email, RIBET!",Negatif
Sangat menyenangkan dan hemat waktu menggunakan applikasi ini,Positif
"Lambat ngirimin kode OTP nya lewat email,klo bisa jngn lewat email lgi ngirim otp nya melainkan lewat w'a atau SMS",Negatif
Tempat diskusi yg enak banget ....,Positif
Is the best,Positif
Kenapa ndak bisa log in dan infonya internal server error,Negatif
"Sdh berhasil daftar tp ga bisa login, daftar ulang dikatakan email sdh terdaftar, buat lupa password, email reset password tdk ada masuk, pilih login muncul notif internal server error. Berulang kali install re install tetep g bisa juga. Payah...",Negatif
Happy,Positif
Internal server eror terus!,Negatif
Setiap log in internal error trs.,Negatif
Menyenangkan,Positif
"Kak saya barusan membuat lagi join up dengan email dan pw yang berbeda tetapi pas di sign in nya malah tidak bisa, kenapa ya ini?",Negatif
ga bisa sing in...internal error mulu masa😏,Positif
Mau login error mulu,Negatif
